source_job_id,url,title_clean,location_type,city,old_country,new_country,old_currency,new_currency,review_reason
7941129002,https://job-boards.greenhouse.io/gomotive/jobs/7941129002,"Strategic Account Executive, Mexico",onsite,,US,MX,,,country_nonempty_changed
8129164002,https://job-boards.greenhouse.io/gomotive/jobs/8129164002,Customer Success Manager,hybrid,Mexico City,US,MX,,,country_nonempty_changed
8235620002,https://job-boards.greenhouse.io/gomotive/jobs/8235620002,"Senior Product Marketing Manager, México",hybrid,Mexico City,US,MX,,,country_nonempty_changed
7870024002,https://job-boards.greenhouse.io/gomotive/jobs/7870024002,"Senior Manager, Account Management",remote,Islamabad & Lahore,US,PK,,,country_nonempty_changed
6366658,https://job-boards.greenhouse.io/smartsheet/jobs/6366658,Software Engineer II (Remote Eligible from Bulgaria),remote,,DE,BG,,,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
7385653,https://job-boards.greenhouse.io/smartsheet/jobs/7385653,Sr. DevSecOps Engineer- Reliability & Security (Remote from Bulgaria),remote,,DE,BG,,,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
7386364,https://job-boards.greenhouse.io/smartsheet/jobs/7386364,Product Manager II (Remote from Bulgaria),remote,,DE,BG,,,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
7388435,https://job-boards.greenhouse.io/smartsheet/jobs/7388435,"Senior Software Engineer, Platform Security (Remote from Bulgaria)",remote,,DE,BG,,,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
7599444,https://job-boards.greenhouse.io/smartsheet/jobs/7599444,Sr. Software Engineer (Remote Eligible from Bulgaria),remote,,DE,BG,,,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5813618004,https://job-boards.greenhouse.io/grafanalabs/jobs/5813618004,Senior Engineering Manager - Platform Metal | Sweden | Remote,remote,,DE,SE,,,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5783162004,https://job-boards.greenhouse.io/grafanalabs/jobs/5783162004,Senior Backend Engineer | Mimir OSS | Sweden | Remote,remote,,ES,SE,,,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5799037004,https://job-boards.greenhouse.io/grafanalabs/jobs/5799037004,Backend Software Engineer - Mimir Ingest | Sweden | Remote,remote,,ES,SE,,,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5804920004,https://job-boards.greenhouse.io/grafanalabs/jobs/5804920004,Staff Mobile Engineer: Instrumentation SDK (iOS/Android) - Observability | Sweden | Remote,remote,,ES,SE,,,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5808861004,https://job-boards.greenhouse.io/grafanalabs/jobs/5808861004,"Senior Software Engineer - Grafana Databases, SRE | Sweden | Remote",remote,,ES,SE,,SEK,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5809259004,https://job-boards.greenhouse.io/grafanalabs/jobs/5809259004,"Staff Software Engineer - Grafana Cloud Observability, Kubernetes Monitoring | Sweden | Remote",remote,,ES,SE,,SEK,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5662098004,https://job-boards.greenhouse.io/grafanalabs/jobs/5662098004,"Senior Solutions Engineer | Tokyo, Japan | Remote",remote,,FR,JP,,,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5728176004,https://job-boards.greenhouse.io/grafanalabs/jobs/5728176004,Strategic Channel Manager | Japan | Remote,remote,,FR,JP,,,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5592708004,https://job-boards.greenhouse.io/grafanalabs/jobs/5592708004,"Senior Enterprise Account Executive, Growth | Sweden | Remote",remote,,FR,SE,,,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5688186004,https://job-boards.greenhouse.io/grafanalabs/jobs/5688186004,"Senior Software Security Engineer, Detection Engineering | Sweden | Remote",hybrid,,FR,SE,,SEK,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5693691004,https://job-boards.greenhouse.io/grafanalabs/jobs/5693691004,Senior Backend Engineer - Grafana k6 | Sweden | Remote,remote,,FR,SE,,SEK,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5764236004,https://job-boards.greenhouse.io/grafanalabs/jobs/5764236004,Senior Software Engineer - Grafana k6 | Sweden | Remote,remote,,FR,SE,,SEK,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5783882004,https://job-boards.greenhouse.io/grafanalabs/jobs/5783882004,Senior Product Marketing Manager | Sweden | Remote,remote,,FR,SE,,SEK,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5789039004,https://job-boards.greenhouse.io/grafanalabs/jobs/5789039004,"Director, Solutions Engineering | EMEA | Remote",remote,,FR,SE,,,country_nonempty_changed;no_city_with_remote_hybrid;broad_scope_title;remote_in_title
5789080004,https://job-boards.greenhouse.io/grafanalabs/jobs/5789080004,Senior Solutions Engineer | Sweden | Remote,remote,,FR,SE,,SEK,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5790622004,https://job-boards.greenhouse.io/grafanalabs/jobs/5790622004,Observability Architect | Sweden | Remote,remote,,FR,SE,,SEK,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5725860004,https://job-boards.greenhouse.io/grafanalabs/jobs/5725860004,Solutions Engineer | Singapore | Remote,remote,,FR,SG,USD,USD,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
5766331004,https://job-boards.greenhouse.io/grafanalabs/jobs/5766331004,"Enterprise Account Executive, New Business Acquisition - ASIA | Singapore | Remote",remote,,FR,SG,USD,USD,country_nonempty_changed;no_city_with_remote_hybrid;broad_scope_title;remote_in_title
5801260004,https://job-boards.greenhouse.io/grafanalabs/jobs/5801260004,Staff Backend Engineer - Adaptive Telemetry | Sweden | Remote,remote,,GB,SE,,SEK,country_nonempty_changed;no_city_with_remote_hybrid;remote_in_title
