source_job_id,url,title_clean,old_country,new_country,old_currency,new_currency,city,location_type
7560195,https://job-boards.greenhouse.io/smartsheet/jobs/7560195,"Manager, Engineering",DE,BG,,,,remote
7491110,https://job-boards.greenhouse.io/smartsheet/jobs/7491110,Principal Partner Account Manager,DE,SG,,,,hybrid
7386364,https://job-boards.greenhouse.io/smartsheet/jobs/7386364,Product Manager II (Remote from Bulgaria),DE,BG,,,,remote
6806756,https://job-boards.greenhouse.io/smartsheet/jobs/6806756,"Senior Manager, Engineering - Enterprise Audit",DE,BG,,,,remote
7388435,https://job-boards.greenhouse.io/smartsheet/jobs/7388435,"Senior Software Engineer, Platform Security (Remote from Bulgaria)",DE,BG,,,,remote
6366658,https://job-boards.greenhouse.io/smartsheet/jobs/6366658,Software Engineer II (Remote Eligible from Bulgaria),DE,BG,,,,remote
7385653,https://job-boards.greenhouse.io/smartsheet/jobs/7385653,Sr. DevSecOps Engineer- Reliability & Security (Remote from Bulgaria),DE,BG,,,,remote
7490948,https://job-boards.greenhouse.io/smartsheet/jobs/7490948,"Sr Enterprise Account Executive, Asia",DE,SG,,,,hybrid
7599444,https://job-boards.greenhouse.io/smartsheet/jobs/7599444,Sr. Software Engineer (Remote Eligible from Bulgaria),DE,BG,,,,remote
8235635002,https://job-boards.greenhouse.io/gomotive/jobs/8235635002,"Account Executive, CMRL - MX",US,MX,,,,hybrid
7688059002,https://job-boards.greenhouse.io/gomotive/jobs/7688059002,"Account Executive, Enterprise",,MX,,,Mexico City,hybrid
7213840002,https://job-boards.greenhouse.io/gomotive/jobs/7213840002,"Account Executive, Mid-Market",,MX,,,Mexico City,hybrid
8344647002,https://job-boards.greenhouse.io/gomotive/jobs/8344647002,"Account Executive, SMB New Logo – Spanish Speaking",US,PK,,,,hybrid
8143192002,https://job-boards.greenhouse.io/gomotive/jobs/8143192002,Associate Enterprise Systems QA Engineer,,PK,,,,hybrid
8399242002,https://job-boards.greenhouse.io/gomotive/jobs/8399242002,"Associate Manager, Deal Desk - (Remote)",,PK,,,,remote
8161939002,https://job-boards.greenhouse.io/gomotive/jobs/8161939002,"Associate Manager, Sales Development (Public Sector)",,PK,,,,remote
8175044002,https://job-boards.greenhouse.io/gomotive/jobs/8175044002,Associate Systems Administrator (Salesforce),,PK,,,,remote
8304034002,https://job-boards.greenhouse.io/gomotive/jobs/8304034002,Business Development Representative - Mexico City,,MX,,,Mexico City,hybrid
5796845002,https://job-boards.greenhouse.io/gomotive/jobs/5796845002,"Commercial Account Executive, Outbound Sales",,PK,,,,remote
6717948002,https://job-boards.greenhouse.io/gomotive/jobs/6717948002,Computer Vision Engineer,,PK,,,Islamabad & Lahore,hybrid
8129164002,https://job-boards.greenhouse.io/gomotive/jobs/8129164002,Customer Success Manager,US,MX,,,Mexico City,hybrid
8355403002,https://job-boards.greenhouse.io/gomotive/jobs/8355403002,Data Annotator,,MX,,,Mexico City,onsite
8378193002,https://job-boards.greenhouse.io/gomotive/jobs/8378193002,Data Annotator (rotational shifts w/ weekends),,MX,,,Mexico City,
8097707002,https://job-boards.greenhouse.io/gomotive/jobs/8097707002,"Director, Commercial Sales Engineering",,PK,,,,remote
8382162002,https://job-boards.greenhouse.io/gomotive/jobs/8382162002,Field Marketing Specialist,,MX,,,Mexico City,hybrid
8325871002,https://job-boards.greenhouse.io/gomotive/jobs/8325871002,French Speaking Commercial Outbound Account Executive,,PK,,,,remote
8367923002,https://job-boards.greenhouse.io/gomotive/jobs/8367923002,French Speaking SDR,,PK,,,,remote
8367344002,https://job-boards.greenhouse.io/gomotive/jobs/8367344002,Implementation Consultant,,MX,,,,remote
8381121002,https://job-boards.greenhouse.io/gomotive/jobs/8381121002,Install Coordinator-1 (Spanish),,PK,,,Pakistan - Karachi,remote
8381125002,https://job-boards.greenhouse.io/gomotive/jobs/8381125002,Install Operations Associate-1,,PK,,,,remote
8387980002,https://job-boards.greenhouse.io/gomotive/jobs/8387980002,Instructional Designer,US,PK,,,,remote
8402712002,https://job-boards.greenhouse.io/gomotive/jobs/8402712002,Integrations Engineer,,PK,,,,remote
5476318002,https://job-boards.greenhouse.io/gomotive/jobs/5476318002,Interested in joining our team?,,PK,,,,remote
6854597002,https://job-boards.greenhouse.io/gomotive/jobs/6854597002,"Manager, Commercial Sales - Outbound",US,PK,,,,remote
8387634002,https://job-boards.greenhouse.io/gomotive/jobs/8387634002,"Manager, of Customer Success Mexico",,MX,,,Mexico City,hybrid
8301398002,https://job-boards.greenhouse.io/gomotive/jobs/8301398002,Networks EE Account Manager,,PK,,,,remote
8384147002,https://job-boards.greenhouse.io/gomotive/jobs/8384147002,Partner Success Manager - Installations,,PK,,,,remote
8381716002,https://job-boards.greenhouse.io/gomotive/jobs/8381716002,Partner Success Manager - Installations,,MX,,,,hybrid
8395398002,https://job-boards.greenhouse.io/gomotive/jobs/8395398002,"Regional Partner Manager, Mexico",US,MX,,,Mexico City,hybrid
8376465002,https://job-boards.greenhouse.io/gomotive/jobs/8376465002,Sales Data Engineering Manager,,PK,,,,remote
7667321002,https://job-boards.greenhouse.io/gomotive/jobs/7667321002,Sales Development Representative - Mexico City,US,MX,,,Mexico City,hybrid
8174963002,https://job-boards.greenhouse.io/gomotive/jobs/8174963002,"Sales Engineer, Commercial",US,PK,,,,remote
8097710002,https://job-boards.greenhouse.io/gomotive/jobs/8097710002,"Sales Engineering Manager, Commercial",,PK,,,,remote
8381853002,https://job-boards.greenhouse.io/gomotive/jobs/8381853002,"Sales Manager, SMB",US,PK,,,,remote
